Time(s),Temperature(C),Frequency(Hz),Magnitude
0,23.13,0,0.0002
1,23.15,0.0313,0.0232
2,23.15,0.0625,0.0232
3,23.15,0.0938,0.0232
4,23.15,0.125,0.0232
5,23.15,0.1562,0.0232
6,23.15,0.1875,0.0232
7,23.15,0.2187,0.0232
8,23.15,0.25,0.0232
9,23.15,0.2813,0.0232
10,23.15,0.3125,0.0232
11,23.15,0.3438,0.0232
12,23.15,0.375,0.0232
13,23.15,0.4063,0.0232
14,23.15,0.4375,0.0232
15,23.15,0.4688,0.0232
16,23.15,0.5,0.0232
17,23.15,0.5313,0.0232
18,23.15,0.5625,0.0232
19,23.15,0.5938,0.0232
20,23.15,0.625,0.0232
21,23.15,0.6563,0.0232
22,23.15,0.6875,0.0232
23,23.15,0.7188,0.0232
24,23.15,0.75,0.0232
25,23.15,0.7813,0.0232
26,23.15,0.8125,0.0232
27,23.15,0.8437,0.0232
28,23.15,0.875,0.0232
29,23.15,0.9062,0.0232
30,23.15,0.9375,0.0232
31,23.15,0.9687,0.0232
0,23.15,0,0.0002
0.67,23.15,0.0469,0.0232
1.33,23.15,0.0938,0.0232
2,23.15,0.1406,0.0232
2.67,23.15,0.1875,0.0232
3.33,23.15,0.2344,0.0232
4,23.15,0.2813,0.0232
4.67,23.15,0.3281,0.0232
5.33,23.15,0.375,0.0232
6,23.15,0.4219,0.0232
6.67,23.15,0.4688,0.0232
7.33,23.15,0.5156,0.0232
8,23.15,0.5625,0.0232
8.67,23.15,0.6094,0.0232
9.33,23.13,0.6563,0.0232
10,23.15,0.7031,0.0232
10.67,23.15,0.75,0.0232
11.33,23.15,0.7969,0.0232
12,23.15,0.8437,0.0232
12.67,23.15,0.8906,0.0232
13.33,23.15,0.9375,0.0232
14,23.15,0.9844,0.0232
14.67,23.15,1.0312,0.0232
15.33,23.15,1.0781,0.0232
16,23.15,1.125,0.0232
16.67,23.15,1.1719,0.0232
17.33,23.15,1.2187,0.0232
18,23.15,1.2656,0.0232
18.67,23.15,1.3125,0.0232
19.33,23.15,1.3594,0.0232
20,23.15,1.4062,0.0232
20.67,23.15,1.4531,0.0232
0,23.15,0,0.0002
0.59,23.15,0.0527,0
1.19,23.15,0.1055,0
1.78,23.15,0.1582,0
2.37,23.15,0.2109,0
2.96,23.15,0.2637,0
3.56,23.15,0.3164,0
4.15,23.15,0.3691,0
4.74,23.15,0.4219,0
5.33,23.15,0.4746,0
5.93,23.15,0.5273,0
6.52,23.15,0.5801,0
7.11,23.15,0.6328,0
7.7,23.15,0.6855,0
8.3,23.15,0.7383,0
8.89,23.15,0.791,0
9.48,23.15,0.8437,0
10.07,23.15,0.8965,0
10.67,23.15,0.9492,0
11.26,23.15,1.002,0
11.85,23.15,1.0547,0
12.44,23.15,1.1074,0
13.04,23.15,1.1602,0
13.63,23.15,1.2129,0
14.22,23.15,1.2656,0
14.81,23.15,1.3184,0
15.41,23.15,1.3711,0
16,23.15,1.4238,0
16.59,23.15,1.4766,0
17.19,23.15,1.5293,0
17.78,23.15,1.582,0
18.37,23.15,1.6348,0
